@relation basicinfo_vector

@attribute shares numeric
@attribute comments numeric
@attribute reactions numeric
@attribute images numeric
@attribute links numeric
@attribute class {True,False}

@data
224,903,750,0,0,True
80,18,441,1,2,False
88,34,983,0,2,False
157,105,1578,0,2,False
150,33,750,0,2,False
129,95,906,0,2,False
248,57,1239,0,1,False
297,78,2494,0,2,False
408,171,2478,0,2,False
220,50,806,0,2,False
101,65,1197,1,3,False
1900,375,10985,1,2,False
25,14,159,0,2,False
70,22,428,0,2,False
585,328,5294,0,2,False
1300,194,8560,1,2,False
5400,724,34304,1,2,False
72,40,821,0,2,False
34,28,517,0,2,False
26,13,371,0,2,False
66,48,611,0,2,False
262,59,2097,0,2,False
43,26,358,0,2,False
1300,642,13309,0,2,False
36,88,668,0,2,False
13,31,282,0,2,False
36,26,621,0,2,False
565,174,4319,1,2,False
224,53,1267,0,2,False
51,390,0,0,6,False
154,26,965,0,2,False
6300,1200,24866,1,2,False
333,142,4409,0,2,False
107,94,1178,0,2,False
20,11,130,0,2,False
66,22,493,0,2,False
4,3,70,0,2,False
4,6,0,0,6,False
6,7,131,0,2,False
289,318,4844,1,2,False
36,114,1898,0,1,False
2,16,204,0,3,False
2,3,59,2,6,False
3,8,82,1,3,False
83,78,1044,1,2,False
63,44,385,0,1,False
96,54,1357,0,1,False
18,11,156,0,1,False
2,11,100,0,2,False
4,2,93,0,4,False
27,38,84,0,2,True
4,24,45,0,2,True
0,2,84,1,3,False
1,2,22,0,2,True
2,2,15,0,2,True
62,72,632,0,2,False
50,39,315,0,2,False
495,81,2644,0,2,False
208,100,1244,0,2,False
18,6,133,0,2,False
75,37,659,0,2,False
200,28,1237,0,2,False
121,183,1036,0,2,False
0,6,215,0,4,False
7,3,41,1,3,True
10,24,89,0,2,True
0,6,52,1,3,False
50,44,142,0,2,True
6,13,63,0,2,True
10,42,97,0,2,True
50,87,131,0,2,True
17,20,411,1,3,False
16,83,760,1,2,False
0,1,47,1,3,False
7,3,146,1,3,False
13,6,157,0,2,False
3,31,55,0,2,True
16,110,93,0,2,True
2,94,1181,1,2,False
60,101,1044,0,2,False
16,22,76,0,2,True
5,3,59,0,2,True
0,2,24,0,2,True
19,25,150,0,2,True
3,18,28,0,2,True
177,149,1947,1,2,False
225,260,1400,1,3,False
1,1,28,0,2,True
9,12,73,0,2,True
14,14,64,0,2,True
0,21,32,0,2,True
3,8,35,0,2,True
1,9,24,0,2,True
12,20,47,0,2,True
5,22,41,0,2,True
33,179,99,0,2,True
68,155,954,0,4,False
3,10,38,0,2,True
13,95,59,0,2,True
10,24,41,0,2,True
5,2,43,0,2,True
11,9,85,0,2,True
2,1,31,0,2,True
37,82,161,0,2,True
49,114,1177,0,2,False
239,242,2346,1,3,False
14,37,303,0,2,True
20,25,76,0,2,True
21,40,108,0,2,True
0,1,36,0,2,True
3,0,43,0,2,True
6,26,58,0,2,True
16,56,106,0,2,True
4,45,82,0,2,True
10,33,123,0,2,False
8,12,129,0,4,False
11,5,202,0,2,False
12,23,202,1,3,False
8,22,152,0,2,False
3,30,71,0,2,True
12,22,53,0,2,True
0,5,22,0,2,True
13,38,192,0,2,False
11,84,85,0,2,True
7,10,150,0,2,False
4,6,52,0,2,True
9,65,75,0,2,True
5,53,62,0,2,True
50,28,553,0,2,False
1,2,36,0,2,False
19,20,201,0,2,False
11,33,138,1,3,False
5,6,43,0,2,True
31,33,462,0,2,False
136,51,970,0,2,False
25,10,244,0,2,False
0,6,36,0,3,True
47,122,320,0,2,True
19,77,133,0,2,True
20,36,100,0,2,True
1,2,15,0,2,True
0,9,17,0,2,True
1,6,15,0,2,True
0,0,3,0,2,True
5,7,46,0,2,True
2,1,17,0,2,True
0,0,1,0,2,True
8,4,58,0,2,True
3,4,31,0,2,True
0,0,3,0,2,True
7,0,27,0,2,True
2,3,7,0,2,True
0,0,4,0,2,True
0,5,11,0,2,True
9,12,62,0,2,True
0,1,10,0,2,True
0,9,24,0,2,True
3,8,90,0,2,True
2,1,30,0,2,True
0,0,3,0,2,True
