@relation post_all_vectors

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute shares numeric
@attribute comments numeric
@attribute reactions numeric
@attribute images numeric
@attribute links numeric
@attribute nouns numeric
@attribute pronouns numeric
@attribute verbs numeric
@attribute numbers numeric
@attribute adjectives numeric
@attribute conjunctions numeric
@attribute adverbs numeric
@attribute person numeric
@attribute date numeric
@attribute org numeric
@attribute money numeric
@attribute gpe numeric
@attribute norp numeric
@attribute event numeric
@attribute words numeric
@attribute chars numeric
@attribute u_words numeric
@attribute u_chars numeric
@attribute sentences numeric
@attribute avg_word_length numeric
@attribute avg_sent_length numeric
@attribute class {True,False}

@data
5,0,6,0,0,0,0.246,0.739,0.015,-0.9605,1,2,11,0,4,20,7,10,1,4,0,4,1,3,1,0,1,0,0,92,374,1,28,4,4,23,True
17,1,0,0,0,0,0.076,0.924,0,-0.4019,0,1,18,0,2,13,6,3,0,2,0,2,0,0,2,0,1,0,0,44,203,3,26,2,5,22,True
8,1,0,0,0,0,0.041,0.959,0,-0.296,0,0,9,0,2,8,27,5,0,2,0,1,2,0,4,0,0,0,0,60,252,1,25,4,4,15,True
7,3,0,0,0,0,0.054,0.821,0.125,0.5499,0,5,10,0,2,16,8,7,0,4,0,2,0,0,2,0,3,0,0,62,293,4,26,3,5,21,True
28,1,0,0,0,0,0,0.946,0.054,0.2732,2,9,29,0,2,5,6,6,2,4,0,1,0,0,3,1,0,0,0,45,204,3,32,5,5,9,True
15,3,0,0,0,0,0,0.924,0.076,0.5719,1,22,18,0,2,8,10,5,2,5,0,1,5,3,0,0,0,0,0,66,274,1,26,4,4,17,True
12,9,0,2,0,0,0.083,0.856,0.061,-0.2263,3,19,23,0,2,9,7,4,0,3,0,1,0,0,1,0,0,0,0,45,215,2,21,2,5,23,True
40,20,0,0,0,0,0,1,0,0,7,22,60,0,2,11,9,5,0,5,0,1,1,0,1,0,1,0,0,67,312,2,25,4,5,17,True
31,10,0,0,0,1,0,0.946,0.054,0.2732,2,19,42,0,2,5,6,6,2,4,0,1,0,0,3,1,0,0,0,45,204,3,32,5,5,9,True
28,3,0,1,0,0,0,0.924,0.076,0.5719,1,19,32,0,2,8,10,5,2,5,0,1,5,3,0,0,0,0,0,66,274,1,26,4,4,17,True
35,11,0,1,0,1,0,1,0,0,6,17,48,0,2,8,2,3,0,2,0,0,0,0,0,0,0,0,0,42,166,1,20,5,4,8,True
9,3,0,0,0,0,0.041,0.959,0,-0.296,0,2,12,0,2,8,27,5,0,2,0,1,2,0,4,0,0,0,0,60,252,1,25,4,4,15,True
18,2,3,0,0,0,0.108,0.892,0,-0.5719,3,19,23,0,2,11,7,8,3,0,0,0,0,1,0,0,2,0,0,54,236,4,28,3,4,18,True
7,1,11,0,0,0,0.203,0.772,0.025,-0.8979,0,24,19,0,2,16,5,7,0,5,0,1,0,1,3,0,0,1,0,72,303,2,25,3,4,24,True
23,4,0,0,0,2,0,0.768,0.232,0.8858,0,12,29,0,2,14,2,9,0,4,0,2,0,0,0,0,0,0,0,56,245,2,18,3,4,19,True
23,12,1,0,0,3,0.229,0.771,0,-0.8316,1,22,39,0,2,12,4,5,0,1,0,1,0,0,2,0,0,0,0,40,215,3,27,2,5,20,True
6,0,0,0,0,0,0.071,0.852,0.077,-0.0276,1,5,6,0,3,34,22,14,3,16,0,3,2,0,3,0,2,1,0,180,808,3,55,6,4,30,True
10,1,0,0,1,0,0,0.959,0.041,0.3804,2,4,12,0,2,11,22,4,1,3,0,2,5,0,3,0,1,0,0,70,307,6,61,2,4,35,True
12,0,0,0,1,1,0,0.724,0.276,0.8807,0,9,14,0,2,15,3,7,0,3,0,1,1,0,1,0,0,0,1,46,251,1,26,3,5,15,True
10,0,0,0,0,0,0.026,0.827,0.147,0.8358,3,8,10,0,2,13,6,6,0,4,0,1,0,0,1,0,0,1,0,66,300,2,43,4,5,17,True
6,0,0,0,0,0,0.078,0.775,0.147,0.1779,1,1,6,0,2,6,21,6,0,1,0,1,2,0,5,0,0,1,0,55,297,3,55,4,5,14,True
4,0,1,0,0,0,0,0.82,0.18,0.8733,0,4,5,0,2,11,12,8,1,5,0,0,1,1,0,0,1,1,0,65,300,3,42,2,5,33,True
4,0,0,0,0,0,0,1,0,0,0,1,4,0,2,15,7,4,8,4,0,3,0,1,3,4,0,0,0,69,323,2,43,3,5,23,True
5,0,0,0,0,1,0.171,0.829,0,-0.6369,0,2,6,0,2,7,11,1,1,4,0,3,1,0,1,0,0,1,0,46,234,2,37,2,5,23,True
8,0,0,0,0,0,0,0.721,0.279,0.9081,0,3,8,0,2,1,7,8,0,2,0,1,0,0,1,0,0,1,0,46,205,3,40,3,4,15,True
7,0,0,0,0,0,0.274,0.726,0,-0.9451,5,3,7,0,2,13,12,2,2,5,0,1,0,1,3,0,0,0,0,58,285,2,47,3,5,19,True
8,0,0,0,0,0,0.075,0.85,0.075,0,2,4,8,0,2,7,5,7,0,5,0,0,1,1,1,0,2,0,0,44,236,2,39,3,5,15,True
5,4,5,1,0,0,0.055,0.945,0,-0.4215,0,3,15,0,2,13,10,6,1,2,0,1,0,1,2,0,2,0,0,59,286,3,48,3,5,20,True
11,0,0,0,1,3,0.085,0.607,0.308,0.9021,0,2,15,0,2,7,11,7,2,3,0,1,0,2,1,0,1,2,0,50,236,2,36,2,5,25,True
4,0,0,0,0,1,0.193,0.651,0.156,-0.34,0,2,5,0,2,2,11,5,0,3,0,0,2,0,1,0,0,0,1,39,150,2,46,2,4,20,True
4,0,0,0,0,0,0.2,0.692,0.108,-0.296,0,0,4,0,2,2,6,1,0,0,0,0,1,0,1,0,0,0,0,11,154,1,16,1,14,11,True
7,1,3,0,2,0,0,0.957,0.043,0.0772,0,21,13,0,2,3,12,2,0,2,0,0,3,0,1,0,3,1,0,34,266,0,16,3,8,11,True
47,9,1,0,9,1,0.09,0.791,0.119,0,3,48,67,0,2,13,14,11,0,1,0,3,1,0,2,0,0,0,0,84,322,2,42,2,4,42,True
15,4,0,0,0,0,0.239,0.761,0,-0.7096,0,5,19,0,2,5,11,3,0,2,0,0,1,0,1,0,0,0,0,32,194,2,44,2,6,16,True
3,0,0,0,0,0,0.086,0.764,0.15,0.2732,1,1,7,0,2,8,9,6,1,3,0,2,0,1,2,0,1,5,0,45,245,2,39,1,5,45,True
4,0,1,0,0,0,0.179,0.821,0,-0.8439,2,0,5,0,2,8,4,3,7,4,0,4,0,2,2,0,0,0,0,51,217,3,38,3,4,17,True
6,0,1,0,0,0,0.061,0.939,0,-0.4588,1,0,7,0,2,12,20,2,0,1,0,0,4,0,3,0,3,0,0,61,292,3,49,2,5,31,True
12,1,0,0,0,1,0.176,0.743,0.082,-0.5859,3,2,14,0,2,7,9,3,0,5,0,1,0,0,1,0,0,0,0,41,225,2,47,3,5,14,True
0,0,0,0,0,0,0.056,0.732,0.211,0.7506,1,0,2,0,2,10,6,4,1,6,0,0,1,1,1,0,1,3,0,43,328,0,9,2,8,22,True
6,3,0,0,2,0,0,0.904,0.096,0.5859,0,8,11,0,2,9,7,4,0,3,0,1,1,0,1,0,0,0,0,55,211,3,43,4,4,14,True
2,0,0,0,0,1,0.235,0.682,0.083,-0.8126,0,5,3,0,2,13,13,4,2,1,0,1,3,1,2,0,0,0,0,58,277,2,48,2,5,29,True
12,3,1,0,1,0,0.095,0.721,0.184,0.5994,1,14,17,0,2,6,8,5,1,2,0,3,1,0,2,0,1,0,0,57,243,3,44,2,4,29,True
13,3,0,0,0,0,0.074,0.926,0,-0.631,1,5,16,0,2,11,5,5,0,4,0,5,0,1,1,0,1,0,0,68,277,3,45,3,4,23,True
7,1,0,0,0,0,0,1,0,0,0,0,8,0,2,9,8,3,4,3,0,0,2,3,0,0,1,0,0,54,213,2,39,2,4,27,True
1,0,2,0,0,0,0.07,0.899,0.031,-0.2382,0,2,3,0,2,6,11,8,1,4,0,2,0,1,2,0,0,1,0,58,280,2,38,4,5,15,True
2,0,0,0,0,0,0.168,0.802,0.03,-0.891,0,2,2,0,2,9,24,3,0,1,0,2,6,0,1,0,1,0,2,66,285,4,56,2,4,33,True
7,0,3,0,0,0,0.109,0.734,0.158,0.4215,2,1,10,0,2,3,18,0,0,0,0,0,2,0,2,0,0,0,0,37,178,5,58,1,5,37,True
1,0,1,0,0,0,0.069,0.893,0.038,-0.2263,0,0,2,0,2,14,21,1,0,1,0,0,5,0,4,0,0,0,0,67,300,5,55,4,4,17,True
2,0,0,0,0,0,0,1,0,0,1,0,2,0,2,9,5,8,0,2,0,1,0,0,1,0,1,0,0,48,258,2,41,3,5,16,True
3,0,0,0,0,0,0.143,0.799,0.058,-0.5994,0,0,3,0,2,14,7,5,0,3,0,2,0,0,2,0,0,0,0,54,287,2,43,2,5,27,True
8,1,0,0,0,0,0.05,0.853,0.097,0.3049,0,0,9,0,2,7,8,5,0,3,0,0,0,0,2,0,0,0,0,55,271,2,36,2,5,28,True
6,0,0,0,0,0,0.054,0.946,0,-0.3182,0,0,6,0,2,14,6,4,1,2,0,1,0,1,1,0,0,0,0,51,245,3,43,2,5,26,True
5,0,1,0,0,0,0.05,0.755,0.194,0.7824,14,0,6,0,2,9,9,6,1,1,0,2,2,1,1,0,2,0,0,50,243,2,46,2,5,25,True
4,0,0,0,0,0,0.148,0.7,0.152,-0.2048,0,1,4,0,2,8,9,4,1,1,0,4,0,1,3,0,0,0,0,51,238,3,41,2,5,26,True
4,0,1,0,0,0,0.088,0.867,0.044,-0.4019,0,3,5,0,4,7,24,6,1,1,0,1,5,1,2,0,1,0,0,63,448,3,54,2,7,32,True
6,0,0,0,2,0,0,0.734,0.266,0.7845,0,0,8,0,2,4,7,1,0,2,0,0,1,0,1,0,1,0,0,28,138,2,40,3,5,9,True
43,18,1,1,1,3,0,0.671,0.329,0.8519,5,53,68,0,2,5,5,4,0,0,0,1,1,0,0,0,0,0,0,28,133,2,17,3,5,9,True
24,1,0,1,3,0,0.161,0.839,0,-0.743,4,20,33,0,2,11,9,3,0,3,0,2,1,1,2,0,2,3,0,46,245,1,22,3,5,15,True
512,98,1,6,16,14,0,1,0,0,23,213,657,0,3,9,11,3,1,3,0,2,2,2,1,0,1,0,0,57,234,3,33,3,4,19,True
53,2,6,1,0,3,0.139,0.8,0.061,-0.6249,12,19,67,0,2,15,4,6,0,4,0,4,0,0,0,0,0,0,0,60,271,5,40,3,5,20,True
29,1,12,1,0,3,0.089,0.844,0.067,-0.3612,10,9,46,0,2,15,13,4,2,6,0,2,0,1,2,0,0,0,0,71,346,6,40,4,5,18,True
29,3,2,0,0,1,0.137,0.696,0.166,0.3612,11,29,35,0,2,10,6,5,0,5,0,1,0,0,0,0,0,0,0,48,238,1,20,3,5,16,True
10,4,1,1,0,0,0.056,0.944,0,-0.5719,0,5,16,0,2,17,28,8,0,6,0,4,3,0,1,0,2,2,0,94,456,2,29,5,5,19,True
33,0,2,0,0,0,0.046,0.927,0.027,-0.2023,7,3,35,0,2,17,25,12,0,8,0,4,0,0,1,0,0,2,0,115,532,2,23,7,5,16,True
83,47,1,0,0,2,0.163,0.837,0,-0.8126,19,77,133,0,2,10,12,3,0,3,0,1,3,0,0,0,1,0,0,58,248,1,29,3,4,19,True
42,1,0,0,9,0,0,0.769,0.231,0.8555,3,9,54,0,2,6,7,3,0,4,0,0,0,1,1,0,0,0,0,36,161,2,22,2,4,18,True
61,14,2,1,7,0,0.126,0.874,0,-0.6808,7,88,90,0,2,8,8,7,1,1,0,0,0,1,1,0,3,0,0,48,235,1,21,4,5,12,True
37,0,0,0,3,0,0.047,0.908,0.045,-0.0258,0,19,44,0,2,9,12,6,0,4,0,2,1,1,1,0,1,0,0,67,276,2,28,5,4,13,True
42,0,11,1,12,2,0.064,0.792,0.144,0.6369,5,19,71,0,2,14,12,5,3,5,0,1,0,2,2,1,2,0,0,66,289,3,30,4,4,17,True
36,18,2,22,2,5,0.257,0.629,0.114,-0.3612,5,58,86,0,2,3,4,3,0,0,0,0,0,0,2,0,1,0,0,15,68,2,18,1,5,15,True
103,15,0,0,17,2,0.16,0.84,0,-0.2263,4,62,139,0,2,3,5,2,0,0,0,0,1,0,2,0,1,0,0,12,73,2,21,1,6,12,True
19,15,9,1,1,4,0.136,0.864,0,-0.296,5,151,49,0,2,2,4,3,0,1,0,1,1,0,1,0,1,0,0,19,88,1,18,1,5,19,True
129,6,2,3,9,13,0.057,0.943,0,-0.4588,7,104,167,0,2,11,12,6,5,4,0,0,2,0,1,2,1,0,0,62,287,3,27,3,5,21,True
85,94,1,1,15,3,0.272,0.728,0,-0.9505,9,156,211,0,2,7,15,8,1,0,0,1,2,0,1,0,6,0,0,55,291,1,28,3,5,18,True
59,3,0,1,8,0,0.242,0.758,0,-0.9368,11,37,73,0,3,11,13,5,0,3,0,1,1,0,1,1,0,1,0,57,258,1,29,2,5,29,True
106,1,0,0,12,31,0,0.96,0.04,0.1477,39,32,155,0,2,13,1,4,2,5,0,2,0,1,0,1,0,0,0,46,222,0,4,3,5,15,True
70,15,16,2,12,3,0.077,0.923,0,-0.2732,8,51,121,0,2,5,9,2,0,2,0,0,3,0,0,0,0,0,0,32,142,2,20,2,4,16,True
2086,21,9,239,152,10,0.119,0.629,0.252,0.877,350,675,2581,1,3,11,4,8,0,4,0,3,1,0,1,0,0,0,0,58,279,0,10,5,5,12,True
358,6,234,272,10,44,0.266,0.734,0,-0.9382,64,504,945,0,2,9,15,5,0,1,0,0,1,1,0,0,1,0,0,52,233,1,26,2,4,26,True
19,10,1,6,2,4,0.44,0.56,0,-0.6705,7,19,44,0,2,4,1,3,0,1,0,0,0,0,0,0,2,0,0,11,64,1,15,1,6,11,True
618,180,6,0,174,3,0.096,0.773,0.131,0.4404,63,169,987,0,2,7,19,6,0,1,0,2,2,0,5,0,1,0,0,59,283,2,34,3,5,20,True
526,1,1,1,26,0,0.171,0.829,0,-0.7351,91,81,565,0,2,11,3,3,1,1,0,0,0,1,1,0,0,0,0,49,211,1,23,3,4,16,True
317,0,2,1,148,0,0.132,0.692,0.176,0.8468,7,20,610,0,3,26,5,19,0,3,0,2,0,0,1,0,1,0,0,134,507,3,29,10,4,13,True
367,7,1,1,24,2,0,0.846,0.154,0.6369,98,90,407,0,2,2,6,3,2,0,0,2,0,1,0,0,1,0,0,28,117,1,19,4,4,7,True
46,0,0,6,9,1,0.078,0.856,0.066,-0.6199,5,83,79,0,4,31,2,34,1,12,0,9,0,1,0,0,0,0,0,267,982,17,46,15,4,18,True
313,37,1,12,24,5,0.069,0.931,0,-0.6597,25,207,411,0,3,4,12,18,0,1,0,4,2,2,0,0,1,0,0,99,347,2,31,5,4,20,True
168,0,28,21,6,3,0.238,0.762,0,-0.9246,15,98,232,0,2,8,9,9,4,2,0,0,0,0,0,0,2,0,0,55,246,2,23,2,4,28,True
