@relation reaction_vector

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute class {True,False}

@data
465,24,18,4,221,6,True
146,292,0,0,2,0,False
285,690,0,0,5,3,False
636,913,0,6,6,11,False
197,539,4,2,2,6,False
305,582,0,2,5,9,False
657,567,0,1,8,3,False
1199,1262,5,11,8,9,False
728,1713,2,1,21,10,False
427,368,3,1,3,3,False
508,669,0,2,16,2,False
5923,4916,1,33,62,33,False
72,81,1,1,1,3,False
246,162,0,7,4,8,False
1882,3366,2,7,17,16,False
3742,4739,0,2,40,30,False
15856,17993,3,12,332,68,False
378,426,4,1,8,4,False
210,292,8,0,2,5,False
133,232,0,1,0,4,False
186,420,0,0,3,2,False
773,1302,0,0,11,7,False
230,104,0,20,0,3,False
3382,9727,26,29,41,80,False
549,83,0,1,31,2,False
176,101,0,0,4,1,False
310,306,0,0,5,0,False
1269,3006,1,1,18,18,False
423,832,1,2,5,3,False
0,0,0,0,0,0,False
287,670,1,0,3,4,False
11384,13132,18,12,227,49,False
1388,2981,0,3,23,9,False
741,302,0,3,122,4,False
57,72,0,0,0,0,False
127,361,0,0,2,2,False
25,43,0,0,1,1,False
0,0,0,0,0,0,False
41,88,0,0,1,1,False
2300,2466,0,17,41,8,False
736,1147,1,2,5,6,False
126,73,0,0,4,1,False
41,17,0,0,1,0,False
52,30,0,0,0,0,False
648,364,1,3,24,1,False
182,197,0,0,5,1,False
883,448,2,0,22,1,False
70,82,1,0,3,0,False
57,40,1,0,2,0,False
57,35,0,0,1,0,False
46,1,34,1,0,1,True
41,1,0,0,0,3,True
74,8,0,0,0,1,False
16,1,4,1,0,0,True
13,2,0,0,0,0,True
152,469,2,2,4,3,False
97,206,4,2,1,3,False
1012,1602,0,2,18,9,False
446,769,0,1,19,7,False
72,56,1,1,3,0,False
384,265,0,0,9,0,False
637,566,1,0,29,3,False
478,540,1,4,6,5,False
78,134,0,0,1,0,False
38,2,0,0,1,0,True
84,1,3,0,1,0,True
43,6,0,0,3,0,False
82,22,30,1,0,7,True
50,9,2,1,0,0,True
81,12,1,1,1,1,True
119,4,0,1,1,2,True
163,231,0,1,12,1,False
290,460,0,0,6,1,False
35,11,0,0,1,0,False
85,51,0,0,8,2,False
75,69,0,0,11,0,False
42,6,1,1,0,5,True
79,9,2,0,0,2,True
1010,135,0,0,32,1,False
530,486,0,0,19,8,False
72,2,1,0,0,1,True
56,2,0,0,0,1,True
22,1,0,0,0,0,True
138,6,0,0,3,1,True
23,2,1,0,0,2,True
1113,776,14,22,9,9,False
935,411,16,26,8,2,False
25,3,0,0,0,0,True
66,7,0,0,0,0,True
45,2,14,2,0,1,True
26,3,1,1,0,1,True
33,1,0,0,0,1,True
20,2,2,0,0,0,True
37,6,1,1,1,0,True
29,5,3,1,0,3,True
53,9,35,1,0,1,True
447,491,0,1,12,0,False
26,5,4,0,0,3,True
44,7,6,0,0,2,True
32,7,0,1,0,1,True
42,0,0,0,1,0,True
77,1,5,0,0,1,True
22,3,4,0,0,2,True
69,31,52,5,0,4,True
469,693,0,0,12,3,False
819,1451,4,0,62,3,False
229,4,0,1,28,0,True
61,2,12,1,0,0,True
69,10,27,0,1,1,True
36,0,0,0,0,0,True
42,0,0,0,0,0,True
52,4,0,0,1,1,True
77,26,0,2,0,1,True
64,16,0,1,0,1,True
60,60,2,0,0,1,False
113,11,0,0,3,2,False
86,114,0,0,2,0,False
75,123,0,0,4,0,False
65,84,1,1,1,0,False
20,1,46,1,0,3,True
34,0,14,2,0,3,True
18,0,3,0,0,1,True
97,87,3,1,2,2,False
60,20,2,0,1,2,True
75,71,0,4,0,0,False
28,0,19,5,0,0,True
70,2,0,0,1,1,True
55,4,0,2,0,1,True
155,395,0,1,1,0,False
31,3,0,0,2,0,False
123,49,2,24,2,1,False
60,76,1,1,0,0,False
42,0,0,1,0,0,True
155,303,1,0,3,0,False
303,653,1,1,10,1,False
135,86,3,19,0,0,False
32,1,0,0,3,0,True
271,7,0,0,39,3,True
83,47,1,0,0,2,True
79,14,2,3,0,2,True
14,0,0,0,0,1,True
10,2,0,5,0,0,True
9,5,0,0,0,0,True
3,0,0,0,0,0,True
17,29,0,0,0,0,True
9,6,0,0,0,2,True
1,0,0,0,0,0,True
57,0,0,0,1,0,True
25,2,0,0,0,4,True
1,0,0,2,0,0,True
27,0,0,0,0,0,True
2,4,1,0,0,0,True
1,3,0,0,0,0,True
4,7,0,0,0,0,True
52,1,0,2,0,5,True
6,3,0,0,0,1,True
10,14,0,0,0,0,True
5,84,0,1,0,0,True
24,4,0,0,1,1,True
3,0,0,0,0,0,True
19,1,0,0,0,2,True
5,0,0,12,0,1,True
7,0,0,0,0,0,True
19,117,1,1,0,1,True
1,0,0,0,0,0,True
3,0,0,6,0,2,True
1,5,0,0,0,0,True
22,0,0,0,1,1,True
0,10,0,0,0,0,True
6,0,0,0,0,0,True
12,0,0,0,0,0,True
11,0,10,0,0,0,True
5,0,0,0,0,0,True
2,4,0,0,0,2,True
6,0,0,0,0,0,True
1,0,0,1,0,2,True
1,5,0,0,0,0,True
3,0,0,0,0,0,True
2,0,1,0,0,0,True
1,0,0,0,0,0,True
0,1,0,0,0,0,True
67,10,22,2,0,1,True
75,6,0,0,0,0,False
77,54,2,4,1,0,False
57,26,1,9,0,1,False
30,14,1,0,0,0,True
49,1,6,0,1,1,True
46,33,0,0,0,1,False
74,53,0,7,0,0,False
102,185,0,0,2,1,False
212,479,0,1,6,1,False
7,1,3,0,2,0,True
4,0,0,0,0,0,True
50,2,10,0,1,1,True
4,0,0,0,0,1,True
31,0,0,0,1,0,True
9,4,0,0,0,0,True
4,1,0,0,0,0,True
3,19,0,0,0,1,True
31,14,0,0,1,9,True
2,6,0,0,0,0,True
2,11,1,0,0,0,True
6,0,0,0,0,3,True
3,6,0,0,0,0,True
4,3,0,0,0,0,True
3,10,0,0,1,0,True
3,5,0,0,0,0,True
10,3,0,0,0,1,True
1,3,0,0,0,0,True
8,8,0,0,0,0,True
6,2,0,0,0,0,True
11,0,0,0,1,3,True
2,0,0,0,0,0,True
2,0,0,1,0,0,True
2,0,0,0,0,0,True
122,6,0,0,1,0,True
32,0,0,0,1,0,True
5,4,5,1,0,0,True
8,0,0,0,0,0,True
19,0,0,0,0,0,True
18,0,0,0,1,0,True
68,36,1,0,1,3,True
45,3,0,1,0,0,True
390,638,2,2,0,1,False
14,0,0,0,0,0,False
41,143,0,0,1,1,False
7,0,0,0,0,0,True
