@relation sentiment_vector

@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute class {True,False}

@data
0,0.704,0.296,0.7096,True
0,0,0,0,False
0.236,0.764,0,-0.3382,False
0.151,0.744,0.105,-0.2461,False
0,0.897,0.103,0.4144,False
0,0.853,0.147,0.4753,False
0.303,0.455,0.242,-0.2023,False
0.073,0.696,0.231,0.6989,False
0.203,0.584,0.213,0.0772,False
0.254,0.746,0,-0.6996,False
0.075,0.649,0.276,0.9324,False
0,0,0,0,False
0.171,0.829,0,-0.5106,False
0.2,0.723,0.077,-0.7102,False
0,0.899,0.101,0.2263,False
0,0,0,0,False
0,0,0,0,False
0.065,0.935,0,-0.1531,False
0,1,0,0,False
0.109,0.761,0.13,0.1511,False
0.312,0.688,0,-0.9051,False
0,0.943,0.057,0.1779,False
0.044,0.881,0.075,0.25,False
0.344,0.656,0,-0.743,False
0,1,0,0,False
0.121,0.879,0,-0.296,False
0,0.834,0.166,0.4199,False
0,0,0,0,False
0.103,0.897,0,-0.25,False
0.102,0.784,0.114,-0.1779,False
0.221,0.671,0.107,-0.5267,False
0,0,0,0,False
0,0.728,0.272,0.7959,False
0.332,0.53,0.138,-0.6689,False
0,0.667,0.333,0.7901,False
0.132,0.679,0.189,0.3612,False
0.115,0.885,0,-0.3274,False
0,1,0,0,False
0.076,0.735,0.189,0.4854,False
0,0,0,0,False
0,0.699,0.301,0.7096,False
0.063,0.721,0.216,0.7243,False
0.058,0.848,0.093,0.4559,False
0.049,0.792,0.158,0.7584,False
0,1,0,0,False
0,0.649,0.351,0.4019,False
0,0.645,0.355,0.296,False
0,0.612,0.388,0.5859,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,True
0.082,0.873,0.045,-0.2737,True
0,1,0,0,False
0,1,0,0,True
0,1,0,0,True
0.126,0.623,0.251,0.4937,False
0,0.887,0.113,0.3182,False
0.091,0.682,0.227,0.4199,False
0,1,0,0,False
0.08,0.771,0.149,0.3612,False
0.111,0.507,0.382,0.6531,False
0,0.687,0.313,0.6239,False
0,0.874,0.126,0.3182,False
0.057,0.87,0.074,0.1298,False
0,0.817,0.183,0.6166,True
0.076,0.815,0.109,0.4019,True
0.049,0.951,0,-0.2942,False
0.044,0.926,0.03,-0.1779,True
0.132,0.868,0,-0.5043,True
0.051,0.882,0.067,0.1779,True
0.099,0.832,0.07,-0.1531,True
0.125,0.775,0.1,-0.2144,False
0,0,0,0,False
0,1,0,0,False
0,0.477,0.523,0.6696,False
0,0.82,0.18,0.6908,False
0.161,0.788,0.051,-0.609,True
0.188,0.812,0,-0.7766,True
0,0.762,0.238,0.3612,False
0.139,0.668,0.193,0.4588,False
0.183,0.817,0,-0.5403,True
0,0.931,0.069,0.4939,True
