nouns,pronouns,verbs,numbers,adjectives,conjunctions,adverbs,class
20,7,10,1,4,0,4,True
13,6,3,0,2,0,2,True
8,27,5,0,2,0,1,True
16,8,7,0,4,0,2,True
5,6,6,2,4,0,1,True
8,10,5,2,5,0,1,True
9,7,4,0,3,0,1,True
11,9,5,0,5,0,1,True
5,6,6,2,4,0,1,True
8,10,5,2,5,0,1,True
8,2,3,0,2,0,0,True
8,27,5,0,2,0,1,True
11,7,8,3,0,0,0,True
16,5,7,0,5,0,1,True
14,2,9,0,4,0,2,True
12,4,5,0,1,0,1,True
34,22,14,3,16,0,3,True
11,22,4,1,3,0,2,True
15,3,7,0,3,0,1,True
13,6,6,0,4,0,1,True
6,21,6,0,1,0,1,True
11,12,8,1,5,0,0,True
15,7,4,8,4,0,3,True
7,11,1,1,4,0,3,True
1,7,8,0,2,0,1,True
13,12,2,2,5,0,1,True
7,5,7,0,5,0,0,True
13,10,6,1,2,0,1,True
7,11,7,2,3,0,1,True
2,11,5,0,3,0,0,True
2,6,1,0,0,0,0,True
3,12,2,0,2,0,0,True
13,14,11,0,1,0,3,True
5,11,3,0,2,0,0,True
8,9,6,1,3,0,2,True
8,4,3,7,4,0,4,True
12,20,2,0,1,0,0,True
7,9,3,0,5,0,1,True
10,6,4,1,6,0,0,True
9,7,4,0,3,0,1,True
13,13,4,2,1,0,1,True
6,8,5,1,2,0,3,True
11,5,5,0,4,0,5,True
9,8,3,4,3,0,0,True
6,11,8,1,4,0,2,True
9,24,3,0,1,0,2,True
3,18,0,0,0,0,0,True
14,21,1,0,1,0,0,True
9,5,8,0,2,0,1,True
14,7,5,0,3,0,2,True
7,8,5,0,3,0,0,True
14,6,4,1,2,0,1,True
9,9,6,1,1,0,2,True
8,9,4,1,1,0,4,True
7,24,6,1,1,0,1,True
4,7,1,0,2,0,0,True
5,5,4,0,0,0,1,True
11,9,3,0,3,0,2,True
9,11,3,1,3,0,2,True
15,4,6,0,4,0,4,True
15,13,4,2,6,0,2,True
10,6,5,0,5,0,1,True
17,28,8,0,6,0,4,True
17,25,12,0,8,0,4,True
10,12,3,0,3,0,1,True
6,7,3,0,4,0,0,True
8,8,7,1,1,0,0,True
9,12,6,0,4,0,2,True
14,12,5,3,5,0,1,True
3,4,3,0,0,0,0,True
3,5,2,0,0,0,0,True
2,4,3,0,1,0,1,True
11,12,6,5,4,0,0,True
7,15,8,1,0,0,1,True
11,13,5,0,3,0,1,True
13,1,4,2,5,0,2,True
5,9,2,0,2,0,0,True
11,4,8,0,4,0,3,True
9,15,5,0,1,0,0,True
4,1,3,0,1,0,0,True
7,19,6,0,1,0,2,True
11,3,3,1,1,0,0,True
26,5,19,0,3,0,2,True
2,6,3,2,0,0,2,True
31,2,34,1,12,0,9,True
4,12,18,0,1,0,4,True
8,9,9,4,2,0,0,True
23,6,22,2,5,0,14,True
8,12,3,5,3,0,0,True
13,5,6,1,9,0,0,True
6,2,3,0,4,0,0,True
6,6,5,2,2,0,3,True
7,7,7,1,2,0,0,True
16,4,5,0,9,0,3,True
5,4,0,0,3,0,2,True
8,13,9,0,1,0,2,True
9,11,5,0,6,0,1,True
14,3,4,1,4,0,0,True
8,9,5,2,2,0,0,True
3,6,3,0,0,0,0,True
4,4,1,0,0,0,0,True
2,3,2,0,1,0,0,True
4,2,2,0,0,0,0,True
