words,chars,u_words,u_chars,sentences,avg_word_length,avg_sent_length,class
92,374,1,28,4,4,23,True
44,203,3,26,2,5,22,True
60,252,1,25,4,4,15,True
62,293,4,26,3,5,21,True
45,204,3,32,5,5,9,True
66,274,1,26,4,4,17,True
45,215,2,21,2,5,23,True
67,312,2,25,4,5,17,True
45,204,3,32,5,5,9,True
66,274,1,26,4,4,17,True
42,166,1,20,5,4,8,True
60,252,1,25,4,4,15,True
54,236,4,28,3,4,18,True
72,303,2,25,3,4,24,True
56,245,2,18,3,4,19,True
40,215,3,27,2,5,20,True
180,808,3,55,6,4,30,True
70,307,6,61,2,4,35,True
46,251,1,26,3,5,15,True
66,300,2,43,4,5,17,True
55,297,3,55,4,5,14,True
65,300,3,42,2,5,33,True
69,323,2,43,3,5,23,True
46,234,2,37,2,5,23,True
46,205,3,40,3,4,15,True
58,285,2,47,3,5,19,True
44,236,2,39,3,5,15,True
59,286,3,48,3,5,20,True
50,236,2,36,2,5,25,True
39,150,2,46,2,4,20,True
11,154,1,16,1,14,11,True
34,266,0,16,3,8,11,True
84,322,2,42,2,4,42,True
32,194,2,44,2,6,16,True
45,245,2,39,1,5,45,True
51,217,3,38,3,4,17,True
61,292,3,49,2,5,31,True
41,225,2,47,3,5,14,True
43,328,0,9,2,8,22,True
55,211,3,43,4,4,14,True
58,277,2,48,2,5,29,True
57,243,3,44,2,4,29,True
68,277,3,45,3,4,23,True
54,213,2,39,2,4,27,True
58,280,2,38,4,5,15,True
66,285,4,56,2,4,33,True
37,178,5,58,1,5,37,True
67,300,5,55,4,4,17,True
48,258,2,41,3,5,16,True
54,287,2,43,2,5,27,True
55,271,2,36,2,5,28,True
51,245,3,43,2,5,26,True
50,243,2,46,2,5,25,True
51,238,3,41,2,5,26,True
63,448,3,54,2,7,32,True
28,138,2,40,3,5,9,True
28,133,2,17,3,5,9,True
46,245,1,22,3,5,15,True
57,234,3,33,3,4,19,True
60,271,5,40,3,5,20,True
71,346,6,40,4,5,18,True
48,238,1,20,3,5,16,True
94,456,2,29,5,5,19,True
115,532,2,23,7,5,16,True
58,248,1,29,3,4,19,True
36,161,2,22,2,4,18,True
48,235,1,21,4,5,12,True
67,276,2,28,5,4,13,True
66,289,3,30,4,4,17,True
15,68,2,18,1,5,15,True
12,73,2,21,1,6,12,True
19,88,1,18,1,5,19,True
62,287,3,27,3,5,21,True
55,291,1,28,3,5,18,True
57,258,1,29,2,5,29,True
46,222,0,4,3,5,15,True
32,142,2,20,2,4,16,True
58,279,0,10,5,5,12,True
52,233,1,26,2,4,26,True
11,64,1,15,1,6,11,True
59,283,2,34,3,5,20,True
49,211,1,23,3,4,16,True
134,507,3,29,10,4,13,True
28,117,1,19,4,4,7,True
267,982,17,46,15,4,18,True
99,347,2,31,5,4,20,True
55,246,2,23,2,4,28,True
165,574,16,39,11,3,15,True
57,217,1,23,3,4,19,True
59,261,2,22,5,4,12,True
34,152,0,5,2,4,17,True
44,197,3,21,4,4,11,True
49,233,1,11,2,5,25,True
74,362,2,23,4,5,19,True
23,122,0,7,2,5,12,True
72,285,3,31,3,4,24,True
63,274,1,23,3,4,21,True
47,224,1,6,3,5,16,True
58,240,2,29,6,4,10,True
17,95,2,27,1,6,17,True
12,60,1,17,1,5,12,True
13,63,2,19,1,5,13,True
14,80,1,15,1,6,14,True
18,83,2,19,1,5,18,True
15,74,1,16,1,5,15,True
14,86,1,16,1,6,14,True
18,79,2,17,1,4,18,True
67,269,2,22,3,4,22,True
13,78,1,17,1,6,13,True
24,103,1,18,1,4,24,True
13,82,1,17,1,6,13,True
24,100,1,18,2,4,12,True
21,70,2,15,1,3,21,True
14,74,1,18,1,5,14,True
16,80,2,21,1,5,16,True
14,77,2,16,1,6,14,True
15,80,2,17,1,5,15,True
10,76,1,17,1,8,10,True
15,76,1,15,1,5,15,True
37,186,3,23,2,5,19,True
11,61,1,18,1,6,11,True
14,89,1,16,1,6,14,True
54,269,1,21,2,5,27,True
53,254,2,29,2,5,27,True
31,144,1,16,2,5,16,True
45,195,2,22,2,4,23,True
36,147,2,10,2,4,18,True
35,157,1,19,1,4,35,True
30,165,1,21,1,6,30,True
12,67,1,15,1,6,12,True
48,189,2,26,3,4,16,True
61,262,2,29,3,4,20,True
70,300,1,11,3,4,23,True
338,1360,15,48,19,4,18,True
56,260,5,30,4,5,14,True
49,218,1,19,3,4,16,True
49,195,3,27,2,4,25,True
43,188,1,20,1,4,43,True
16,85,1,17,1,5,16,True
43,175,1,22,4,4,11,True
42,186,2,22,4,4,11,True
56,268,2,24,3,5,19,True
48,210,4,25,1,4,48,True
56,230,1,24,2,4,28,True
34,171,3,20,1,5,34,True
12,62,1,16,1,5,12,True
20,90,2,17,2,5,10,True
15,70,1,17,1,5,15,True
23,111,1,19,2,5,12,True
66,284,1,27,3,4,22,True
33,137,1,16,3,4,11,True
40,173,1,16,2,4,20,True
62,294,3,25,4,5,16,True
53,239,4,28,3,5,18,True
20,87,1,19,2,4,10,True
10,67,1,16,1,7,10,True
48,189,3,20,2,4,24,True
24,111,1,20,2,5,12,True
34,142,0,8,3,4,11,True
75,310,4,26,4,4,19,True
56,219,2,27,4,4,14,True
61,253,5,38,4,4,15,True
55,224,1,31,2,4,28,True
19,97,0,4,2,5,10,True
58,279,0,10,5,5,12,True
52,243,3,31,3,5,17,True
62,260,1,27,4,4,16,True
64,283,2,32,3,4,21,True
62,271,2,25,3,4,21,True
41,166,1,31,2,4,21,True
59,251,2,22,4,4,15,True
41,199,1,23,2,5,21,True
54,232,1,23,6,4,9,True
59,269,1,23,4,5,15,True
96,361,2,36,5,4,19,True
48,224,1,9,2,5,24,True
34,187,0,7,2,6,17,True
59,231,3,27,4,4,15,True
65,292,3,25,3,4,22,True
68,272,2,23,4,4,17,True
56,234,1,25,3,4,19,True
21,94,2,22,2,4,11,True
64,266,1,23,2,4,32,True
64,269,2,21,2,4,32,True
47,251,1,20,2,5,24,True
29,150,1,15,2,5,15,True
66,283,1,29,4,4,17,True
45,175,3,24,2,4,23,True
11,63,2,18,1,6,11,True
49,202,2,24,4,4,12,True
18,88,1,18,2,5,9,True
51,257,2,31,1,5,51,True
79,284,7,24,4,4,20,True
61,279,3,30,5,5,12,True
59,277,2,21,3,5,20,True
72,285,1,26,3,4,24,True
56,222,1,19,3,4,19,True
47,198,2,33,2,4,24,True
60,287,1,31,3,5,20,True
140,493,8,34,9,4,16,True
76,390,1,23,3,5,25,True
341,1305,25,51,14,4,24,True
49,224,2,7,2,5,25,True
50,204,2,28,3,4,17,True
57,202,2,34,4,4,14,True
71,278,3,26,2,4,36,True
13,76,1,18,1,6,13,True
15,69,2,18,1,5,15,True
23,91,1,17,1,4,23,True
21,80,3,17,1,4,21,True
13,68,1,16,1,5,13,True
61,254,2,25,2,4,31,True
15,76,2,18,1,5,15,True
14,80,1,15,1,6,14,True
27,117,1,21,3,4,9,True
12,69,1,19,1,6,12,True
15,92,1,17,1,6,15,True
11,67,2,17,1,6,11,True
18,101,1,19,1,6,18,True
12,60,1,16,2,5,6,True
38,150,3,18,1,4,38,True
14,85,2,16,1,6,14,True
22,118,1,18,2,5,11,True
56,241,1,21,3,4,19,True
15,75,1,16,1,5,15,True
19,79,1,16,1,4,19,True
11,66,1,18,1,6,11,True
15,62,1,17,1,4,15,True
50,196,2,25,3,4,17,True
24,101,1,18,1,4,24,True
14,72,1,18,1,5,14,True
20,85,1,17,1,4,20,True
39,180,1,20,2,5,20,True
56,275,1,25,2,5,28,True
59,237,1,25,2,4,30,True
19,97,0,4,2,5,10,True
46,217,1,20,3,5,15,True
61,276,1,23,2,5,31,True
51,212,1,28,3,4,17,True
49,237,2,27,2,5,25,True
47,190,3,29,2,4,24,True
46,182,0,6,5,4,9,True
45,198,2,25,1,4,45,True
143,545,7,31,10,4,14,True
46,188,0,4,3,4,15,True
53,239,1,22,3,5,18,True
61,293,1,29,3,5,20,True
65,270,4,29,3,4,22,True
67,278,2,23,3,4,22,True
75,283,1,26,4,4,19,True
50,225,1,22,2,5,25,True
50,249,2,24,2,5,25,True
27,115,1,21,2,4,14,True
83,302,1,33,4,4,21,True
26,140,2,24,2,5,13,True
23,106,3,26,2,5,12,True
51,226,1,19,4,4,13,True
40,172,2,17,3,4,13,True
83,302,1,33,4,4,21,True
35,184,2,6,2,5,18,True
39,160,1,23,4,4,10,True
69,264,2,20,3,4,23,True
63,254,2,32,3,4,21,True
42,194,2,30,2,5,21,True
59,264,3,25,4,4,15,True
16,79,2,17,1,5,16,True
13,80,2,16,1,6,13,True
17,82,1,17,1,5,17,True
17,81,1,17,1,5,17,True
13,77,1,16,1,6,13,True
14,82,1,18,1,6,14,True
14,78,1,17,1,6,14,True
14,70,1,17,1,5,14,True
24,107,2,21,1,4,24,True
18,73,1,16,1,4,18,True
16,75,1,16,1,5,16,True
14,69,1,16,1,5,14,True
27,102,1,17,1,4,27,True
18,91,1,17,1,5,18,True
16,76,2,19,1,5,16,True
17,85,1,16,1,5,17,True
14,70,1,16,1,5,14,True
16,80,1,15,1,5,16,True
13,82,1,16,1,6,13,True
26,97,2,17,2,4,13,True
22,92,1,18,2,4,11,True
13,65,1,15,1,5,13,True
12,64,2,18,1,5,12,True
37,149,2,26,2,4,19,True
16,80,1,15,1,5,16,True
20,92,1,17,1,5,20,True
18,77,1,15,1,4,18,True
15,78,4,30,1,5,15,True
15,76,1,16,2,5,8,True
53,236,1,16,3,4,18,True
16,80,1,16,1,5,16,True
14,80,1,17,1,6,14,True
14,61,1,16,2,4,7,True
22,95,1,18,2,4,11,True
14,67,1,16,1,5,14,True
16,79,1,17,2,5,8,True
17,81,1,19,1,5,17,True
14,80,1,17,1,6,14,True
15,75,2,18,1,5,15,True
13,76,1,16,1,6,13,True
15,75,2,19,1,5,15,True
36,188,1,21,1,5,36,True
14,84,1,17,1,6,14,True
50,219,0,11,3,4,17,True
39,196,0,3,3,5,13,True
21,81,3,20,2,4,11,True
13,76,1,16,1,6,13,True
16,84,1,17,1,5,16,True
11,71,1,15,1,6,11,True
16,70,2,18,1,4,16,True
16,81,2,19,1,5,16,True
23,96,3,16,1,4,23,True
13,78,1,17,1,6,13,True
12,71,1,16,1,6,12,True
14,81,2,17,1,6,14,True
17,78,3,20,2,5,9,True
13,68,1,18,1,5,13,True
16,65,1,16,1,4,16,True
21,93,1,18,1,4,21,True
21,80,2,18,1,4,21,True
19,80,2,18,2,4,10,True
40,177,1,19,3,4,13,True
